Time,,,HR,BR
3/20/2019,3:07:08,PM,83,19
3/20/2019,3:07:09,PM,84,19
3/20/2019,3:07:10,PM,84,19
3/20/2019,3:07:11,PM,83,18
3/20/2019,3:07:12,PM,82,18
3/20/2019,3:07:13,PM,80,18
3/20/2019,3:07:14,PM,80,18
3/20/2019,3:07:15,PM,83,17
3/20/2019,3:07:16,PM,86,17
3/20/2019,3:07:17,PM,86,17
3/20/2019,3:07:18,PM,85,17
3/20/2019,3:07:19,PM,83,16
3/20/2019,3:07:20,PM,83,16
3/20/2019,3:07:21,PM,85,15
3/20/2019,3:07:22,PM,88,15
3/20/2019,3:07:23,PM,93,15
3/20/2019,3:07:24,PM,91,15
3/20/2019,3:07:25,PM,90,14
3/20/2019,3:07:26,PM,89,14
3/20/2019,3:07:27,PM,89,14
3/20/2019,3:07:28,PM,88,14
3/20/2019,3:07:29,PM,88,13
3/20/2019,3:07:30,PM,87,13
3/20/2019,3:07:31,PM,88,13
3/20/2019,3:07:32,PM,87,13
3/20/2019,3:07:33,PM,86,13
3/20/2019,3:07:34,PM,88,13
3/20/2019,3:07:35,PM,89,12
3/20/2019,3:07:36,PM,88,12
3/20/2019,3:07:38,PM,90,12
3/20/2019,3:07:39,PM,91,12
3/20/2019,3:07:40,PM,93,12
3/20/2019,3:07:41,PM,95,12
3/20/2019,3:07:42,PM,97,12
3/20/2019,3:07:43,PM,101,13
3/20/2019,3:07:44,PM,101,13
3/20/2019,3:07:45,PM,99,13
3/20/2019,3:07:46,PM,96,13
3/20/2019,3:07:47,PM,95,13
3/20/2019,3:07:48,PM,96,13
3/20/2019,3:07:49,PM,99,13
3/20/2019,3:07:50,PM,99,13
3/20/2019,3:07:51,PM,100,13
3/20/2019,3:07:52,PM,100,13
3/20/2019,3:07:53,PM,102,14
3/20/2019,3:07:54,PM,100,14
3/20/2019,3:07:55,PM,98,14
3/20/2019,3:07:56,PM,95,14
3/20/2019,3:07:57,PM,92,14
3/20/2019,3:07:58,PM,91,14
3/20/2019,3:07:59,PM,92,14
3/20/2019,3:08:00,PM,94,14
3/20/2019,3:08:01,PM,96,14
3/20/2019,3:08:02,PM,95,14
3/20/2019,3:08:03,PM,94,14
3/20/2019,3:08:04,PM,91,14
3/20/2019,3:08:05,PM,95,14
3/20/2019,3:08:06,PM,90,14
3/20/2019,3:08:07,PM,87,15
