Time,,, HR, BR
4/4/2019,11:04:34,AM,90,11
4/4/2019,11:04:35,AM,92,11
4/4/2019,11:04:36,AM,91,11
4/4/2019,11:04:37,AM,88,11
4/4/2019,11:04:38,AM,83,11
4/4/2019,11:04:39,AM,81,11
4/4/2019,11:04:40,AM,81,11
4/4/2019,11:04:41,AM,86,11
4/4/2019,11:04:42,AM,90,11
4/4/2019,11:04:43,AM,94,10
4/4/2019,11:04:44,AM,95,10
4/4/2019,11:04:45,AM,93,10
4/4/2019,11:04:47,AM,85,10
4/4/2019,11:04:48,AM,84,10
4/4/2019,11:04:49,AM,85,10
4/4/2019,11:04:50,AM,88,10
4/4/2019,11:04:51,AM,91,10
4/4/2019,11:04:52,AM,92,10
4/4/2019,11:04:53,AM,90,9
4/4/2019,11:04:54,AM,88,9
4/4/2019,11:04:55,AM,87,9
4/4/2019,11:04:56,AM,89,9
4/4/2019,11:04:57,AM,90,9
4/4/2019,11:04:58,AM,92,9
4/4/2019,11:04:59,AM,91,9
4/4/2019,11:05:00,AM,90,9
4/4/2019,11:05:01,AM,87,9
4/4/2019,11:05:02,AM,85,9
4/4/2019,11:05:03,AM,84,9
4/4/2019,11:05:04,AM,86,9
4/4/2019,11:05:05,AM,88,9
4/4/2019,11:05:06,AM,90,9
4/4/2019,11:05:07,AM,89,8
4/4/2019,11:05:08,AM,87,8
4/4/2019,11:05:09,AM,85,8
4/4/2019,11:05:10,AM,85,8
4/4/2019,11:05:11,AM,86,8
4/4/2019,11:05:12,AM,88,8
4/4/2019,11:05:13,AM,88,8
4/4/2019,11:05:14,AM,87,8
4/4/2019,11:05:15,AM,86,8
4/4/2019,11:05:16,AM,86,8
4/4/2019,11:05:17,AM,88,8
4/4/2019,11:05:18,AM,90,8
4/4/2019,11:05:19,AM,90,8
4/4/2019,11:05:20,AM,89,8
4/4/2019,11:05:21,AM,89,8
4/4/2019,11:05:22,AM,89,8
4/4/2019,11:05:23,AM,91,8
4/4/2019,11:05:24,AM,92,8
4/4/2019,11:05:25,AM,90,8
4/4/2019,11:05:26,AM,88,8
4/4/2019,11:05:27,AM,88,8
4/4/2019,11:05:28,AM,88,8
4/4/2019,11:05:29,AM,89,8
4/4/2019,11:05:30,AM,90,8
4/4/2019,11:05:31,AM,90,9
4/4/2019,11:05:32,AM,91,9
4/4/2019,11:05:33,AM,92,9
4/4/2019,11:05:34,AM,94,9
4/4/2019,11:05:35,AM,93,9
4/4/2019,11:05:36,AM,89,9
