Time,,,HR,BR
3/26/2019,11:14:50,AM,98,6.7
3/26/2019,11:14:51,AM,99,6.7
3/26/2019,11:14:52,AM,100,6.5
3/26/2019,11:14:53,AM,104,6.5
3/26/2019,11:14:54,AM,108,6.2
3/26/2019,11:14:55,AM,111,6.2
3/26/2019,11:14:56,AM,107,5.6
3/26/2019,11:14:57,AM,103,5.6
3/26/2019,11:14:58,AM,98,5.3
3/26/2019,11:14:59,AM,92,5.3
3/26/2019,11:15:00,AM,91,5.4
3/26/2019,11:15:01,AM,92,5.4
3/26/2019,11:15:02,AM,97,5.5
3/26/2019,11:15:03,AM,101,5.5
3/26/2019,11:15:04,AM,103,5.8
3/26/2019,11:15:05,AM,104,5.8
3/26/2019,11:15:06,AM,104,6.4
3/26/2019,11:15:08,AM,99,7
3/26/2019,11:15:09,AM,95,7
3/26/2019,11:15:11,AM,93,7.8
3/26/2019,11:15:12,AM,97,9.1
3/26/2019,11:15:13,AM,100,9.1
3/26/2019,11:15:14,AM,102,10.3
3/26/2019,11:15:15,AM,102,10.3
3/26/2019,11:15:16,AM,103,11.4
3/26/2019,11:15:17,AM,104,11.4
3/26/2019,11:15:18,AM,105,12.5
3/26/2019,11:15:19,AM,104,12.5
3/26/2019,11:15:20,AM,103,13.3
3/26/2019,11:15:21,AM,100,13.3
3/26/2019,11:15:22,AM,98,14
3/26/2019,11:15:23,AM,98,14
3/26/2019,11:15:24,AM,100,14.7
3/26/2019,11:15:25,AM,104,14.7
3/26/2019,11:15:26,AM,106,15.3
3/26/2019,11:15:27,AM,109,15.3
3/26/2019,11:15:28,AM,111,15.8
3/26/2019,11:15:29,AM,108,15.8
3/26/2019,11:15:30,AM,103,16.2
3/26/2019,11:15:31,AM,100,16.2
3/26/2019,11:15:32,AM,97,16.6
3/26/2019,11:15:33,AM,97,16.6
3/26/2019,11:15:34,AM,97,17
3/26/2019,11:15:35,AM,101,17
3/26/2019,11:15:36,AM,105,17.4
3/26/2019,11:15:37,AM,107,17.4
3/26/2019,11:15:38,AM,105,17.8
3/26/2019,11:15:39,AM,101,17.8
3/26/2019,11:15:40,AM,99,18
3/26/2019,11:15:41,AM,96,18
3/26/2019,11:15:42,AM,94,18.3
3/26/2019,11:15:43,AM,95,18.3
3/26/2019,11:15:44,AM,96,18.6
3/26/2019,11:15:45,AM,96,18.6
3/26/2019,11:15:46,AM,94,18.9
3/26/2019,11:15:47,AM,91,18.9
3/26/2019,11:15:48,AM,89,17.3
3/26/2019,11:15:49,AM,88,17.3
3/26/2019,11:15:50,AM,91,16.2
3/26/2019,11:15:51,AM,92,16.2
3/26/2019,11:15:52,AM,95,15.2
3/26/2019,11:15:53,AM,95,15.2
3/26/2019,11:15:54,AM,95,14.4
3/26/2019,11:15:55,AM,96,14.4
3/26/2019,11:15:56,AM,96,13.8
3/26/2019,11:15:57,AM,93,13.8
3/26/2019,11:15:58,AM,94,13.3
3/26/2019,11:15:59,AM,93,13.3
3/26/2019,11:16:00,AM,92,13.1
3/26/2019,11:16:01,AM,92,13.1
3/26/2019,11:16:02,AM,92,13
3/26/2019,11:16:03,AM,94,13
3/26/2019,11:16:04,AM,95,13.1
3/26/2019,11:16:05,AM,97,13.1
3/26/2019,11:16:06,AM,97,13.3
3/26/2019,11:16:07,AM,96,13.3
3/26/2019,11:16:08,AM,99,13.6
3/26/2019,11:16:09,AM,100,13.6
3/26/2019,11:16:10,AM,99,13.9
3/26/2019,11:16:11,AM,98,13.9
3/26/2019,11:16:12,AM,95,14.4
3/26/2019,11:16:13,AM,92,14.4
3/26/2019,11:16:14,AM,95,14.9
3/26/2019,11:16:15,AM,94,14.9
3/26/2019,11:16:16,AM,95,15.2
3/26/2019,11:16:17,AM,96,15.2
3/26/2019,11:16:18,AM,96,15.6
3/26/2019,11:16:19,AM,98,15.6
3/26/2019,11:16:20,AM,99,16
3/26/2019,11:16:21,AM,98,16
3/26/2019,11:16:22,AM,95,16.4
3/26/2019,11:16:23,AM,93,16.4
3/26/2019,11:16:24,AM,91,16.7
3/26/2019,11:16:25,AM,90,16.7
3/26/2019,11:16:26,AM,92,17
3/26/2019,11:16:27,AM,93,17
3/26/2019,11:16:28,AM,93,17.1
3/26/2019,11:16:29,AM,95,17.1
3/26/2019,11:16:30,AM,94,15.7
3/26/2019,11:16:31,AM,92,15.7
3/26/2019,11:16:32,AM,91,14.4
3/26/2019,11:16:33,AM,90,14.4
3/26/2019,11:16:34,AM,90,13.9
3/26/2019,11:16:35,AM,91,13.9
3/26/2019,11:16:36,AM,93,13.7
3/26/2019,11:16:37,AM,94,13.7
3/26/2019,11:16:38,AM,90,13.8
3/26/2019,11:16:39,AM,87,13.8
3/26/2019,11:16:40,AM,87,13.9
3/26/2019,11:16:41,AM,88,13.9
3/26/2019,11:16:42,AM,90,14.3
3/26/2019,11:16:43,AM,91,14.3
3/26/2019,11:16:44,AM,91,14.7
3/26/2019,11:16:45,AM,91,14.7
3/26/2019,11:16:46,AM,91,15.3
3/26/2019,11:16:47,AM,92,15.3
3/26/2019,11:16:48,AM,93,15.9
3/26/2019,11:16:49,AM,95,15.9
3/26/2019,11:16:50,AM,97,16.7
3/26/2019,11:16:51,AM,96,16.7
3/26/2019,11:16:52,AM,94,17.4
3/26/2019,11:16:53,AM,95,17.4
3/26/2019,11:16:54,AM,96,17.8
3/26/2019,11:16:55,AM,96,17.8
3/26/2019,11:16:56,AM,97,17.8
3/26/2019,11:16:57,AM,97,17.8
3/26/2019,11:16:58,AM,95,17.8
3/26/2019,11:16:59,AM,91,17.8
3/26/2019,11:17:00,AM,91,17.8
3/26/2019,11:17:01,AM,91,17.8
3/26/2019,11:17:02,AM,90,18.1
3/26/2019,11:17:03,AM,91,18.1
3/26/2019,11:17:04,AM,91,18.7
3/26/2019,11:17:05,AM,90,18.7
3/26/2019,11:17:06,AM,90,18.9
3/26/2019,11:17:07,AM,91,18.9
3/26/2019,11:17:08,AM,91,19.4
3/26/2019,11:17:09,AM,92,19.4
3/26/2019,11:17:10,AM,93,19.3
3/26/2019,11:17:11,AM,92,19.3
3/26/2019,11:17:12,AM,90,19.5
3/26/2019,11:17:13,AM,94,19.5
3/26/2019,11:17:14,AM,96,19.6
3/26/2019,11:17:15,AM,95,19.6
3/26/2019,11:17:16,AM,95,19.8
3/26/2019,11:17:17,AM,93,19.8
3/26/2019,11:17:18,AM,94,19.9
3/26/2019,11:17:19,AM,93,19.9
3/26/2019,11:17:20,AM,93,20.3
3/26/2019,11:17:21,AM,93,20.3
3/26/2019,11:17:22,AM,97,20.1
3/26/2019,11:17:23,AM,103,20.1
3/26/2019,11:17:24,AM,106,19.9
3/26/2019,11:17:25,AM,105,19.9
3/26/2019,11:17:26,AM,102,20
3/26/2019,11:17:27,AM,98,20
3/26/2019,11:17:28,AM,93,20.1
3/26/2019,11:17:29,AM,92,20.1
3/26/2019,11:17:30,AM,93,20.4
3/26/2019,11:17:31,AM,93,20.4
3/26/2019,11:17:32,AM,93,20.6
3/26/2019,11:17:33,AM,95,20.6
3/26/2019,11:17:34,AM,97,20.9
3/26/2019,11:17:35,AM,96,20.9
3/26/2019,11:17:36,AM,96,19.1
3/26/2019,11:17:37,AM,94,19.1
3/26/2019,11:17:38,AM,91,17.8
3/26/2019,11:17:39,AM,88,17.8
3/26/2019,11:17:40,AM,88,16.9
3/26/2019,11:17:41,AM,94,16.9
3/26/2019,11:17:42,AM,97,16.4
3/26/2019,11:17:43,AM,95,16.4
3/26/2019,11:17:44,AM,95,16
3/26/2019,11:17:45,AM,96,16
3/26/2019,11:17:46,AM,96,15.9
3/26/2019,11:17:47,AM,95,15.9
3/26/2019,11:17:48,AM,93,15.8
3/26/2019,11:17:49,AM,91,15.8
3/26/2019,11:17:50,AM,90,16
3/26/2019,11:17:51,AM,87,16
3/26/2019,11:17:52,AM,88,16.2
3/26/2019,11:17:53,AM,89,16.2
3/26/2019,11:17:54,AM,89,16.7
3/26/2019,11:17:55,AM,91,16.7
3/26/2019,11:17:56,AM,91,17.1
3/26/2019,11:17:57,AM,90,17.1
3/26/2019,11:17:58,AM,91,17.2
3/26/2019,11:17:59,AM,91,17.2
3/26/2019,11:18:00,AM,90,17.3
3/26/2019,11:18:01,AM,88,17.3
3/26/2019,11:18:02,AM,89,17.1
3/26/2019,11:18:03,AM,92,17.1
3/26/2019,11:18:04,AM,95,16.9
3/26/2019,11:18:05,AM,97,16.9
3/26/2019,11:18:06,AM,98,16.4
3/26/2019,11:18:07,AM,97,16.4
3/26/2019,11:18:08,AM,98,16.2
3/26/2019,11:18:09,AM,99,16.2
3/26/2019,11:18:10,AM,101,15.8
3/26/2019,11:18:11,AM,102,15.8
3/26/2019,11:18:12,AM,105,15.4
3/26/2019,11:18:13,AM,105,15.4
3/26/2019,11:18:14,AM,100,14.8
3/26/2019,11:18:15,AM,96,14.8
3/26/2019,11:18:16,AM,95,14.2
3/26/2019,11:18:17,AM,96,14.2
3/26/2019,11:18:18,AM,98,13.7
3/26/2019,11:18:19,AM,102,13.7
3/26/2019,11:18:20,AM,106,13.2
3/26/2019,11:18:21,AM,105,13.2
3/26/2019,11:18:22,AM,103,12.8
3/26/2019,11:18:23,AM,100,12.8
3/26/2019,11:18:24,AM,96,12.7
3/26/2019,11:18:25,AM,93,12.7
3/26/2019,11:18:26,AM,92,12.7
3/26/2019,11:18:27,AM,92,12.7
3/26/2019,11:18:28,AM,93,12.9
3/26/2019,11:18:29,AM,96,12.9
3/26/2019,11:18:30,AM,100,13.4
3/26/2019,11:18:31,AM,104,13.4
3/26/2019,11:18:32,AM,107,13.9
3/26/2019,11:18:33,AM,105,13.9
3/26/2019,11:18:34,AM,102,14.6
3/26/2019,11:18:35,AM,101,14.6
3/26/2019,11:18:36,AM,103,14.9
3/26/2019,11:18:37,AM,106,14.9
3/26/2019,11:18:38,AM,106,15.3
3/26/2019,11:18:39,AM,102,15.3
3/26/2019,11:18:40,AM,98,15.6
3/26/2019,11:18:41,AM,93,15.6
3/26/2019,11:18:42,AM,88,15.7
3/26/2019,11:18:43,AM,89,15.7
3/26/2019,11:18:44,AM,93,15.8
3/26/2019,11:18:45,AM,97,15.8
3/26/2019,11:18:46,AM,100,16
3/26/2019,11:18:47,AM,103,16
3/26/2019,11:18:48,AM,107,14.7
3/26/2019,11:18:49,AM,107,14.7
3/26/2019,11:18:50,AM,103,13.6
3/26/2019,11:18:51,AM,98,13.6
3/26/2019,11:18:52,AM,96,12.8
3/26/2019,11:18:54,AM,96,12.4
3/26/2019,11:18:55,AM,96,12.4
3/26/2019,11:18:57,AM,98,12.1
3/26/2019,11:18:58,AM,101,11.8
3/26/2019,11:19:00,AM,104,11.8
3/26/2019,11:19:02,AM,105,11.8
3/26/2019,11:19:03,AM,108,11.8
3/26/2019,11:19:04,AM,109,11.9
3/26/2019,11:19:05,AM,105,11.9
3/26/2019,11:19:06,AM,102,12
3/26/2019,11:19:07,AM,97,12
3/26/2019,11:19:08,AM,92,12.1
3/26/2019,11:19:09,AM,86,12.1
3/26/2019,11:19:10,AM,81,12.1
3/26/2019,11:19:11,AM,80,12.1
3/26/2019,11:19:12,AM,80,12.1
3/26/2019,11:19:13,AM,83,12.1
3/26/2019,11:19:14,AM,87,10.9
3/26/2019,11:19:15,AM,91,10.9
3/26/2019,11:19:16,AM,94,10.1
3/26/2019,11:19:17,AM,95,10.1
3/26/2019,11:19:18,AM,93,9.7
3/26/2019,11:19:19,AM,92,9.7
3/26/2019,11:19:20,AM,91,9.6
3/26/2019,11:19:21,AM,91,9.6
3/26/2019,11:19:22,AM,91,9.9
3/26/2019,11:19:23,AM,94,9.9
3/26/2019,11:19:24,AM,96,10.1
3/26/2019,11:19:25,AM,96,10.1
3/26/2019,11:19:26,AM,97,10.6
3/26/2019,11:19:27,AM,98,10.6
3/26/2019,11:19:28,AM,102,11
3/26/2019,11:19:29,AM,103,11
3/26/2019,11:19:30,AM,101,11.7
3/26/2019,11:19:31,AM,97,11.7
3/26/2019,11:19:32,AM,93,12.6
3/26/2019,11:19:33,AM,88,12.6
3/26/2019,11:19:34,AM,88,13.5
3/26/2019,11:19:35,AM,88,13.5
3/26/2019,11:19:36,AM,90,13.9
3/26/2019,11:19:37,AM,91,13.9
3/26/2019,11:19:38,AM,93,14.3
3/26/2019,11:19:39,AM,96,14.3
3/26/2019,11:19:40,AM,99,14.7
3/26/2019,11:19:41,AM,102,14.7
3/26/2019,11:19:42,AM,104,15
3/26/2019,11:19:43,AM,104,15
3/26/2019,11:19:44,AM,101,15.3
3/26/2019,11:19:45,AM,96,15.3
3/26/2019,11:19:46,AM,93,15.7
3/26/2019,11:19:47,AM,91,15.7
3/26/2019,11:19:48,AM,88,15.9
3/26/2019,11:19:49,AM,88,15.9
3/26/2019,11:19:50,AM,91,16.2
3/26/2019,11:19:51,AM,94,16.2
3/26/2019,11:19:52,AM,94,16.5
3/26/2019,11:19:53,AM,94,16.5
3/26/2019,11:19:54,AM,98,17.1
3/26/2019,11:19:55,AM,103,17.1
3/26/2019,11:19:56,AM,107,17.7
3/26/2019,11:19:57,AM,108,17.7
3/26/2019,11:19:58,AM,107,18.4
3/26/2019,11:19:59,AM,109,18.4
3/26/2019,11:20:00,AM,106,18.9
3/26/2019,11:20:01,AM,102,18.9
3/26/2019,11:20:02,AM,101,19.3
3/26/2019,11:20:03,AM,102,19.3
3/26/2019,11:20:04,AM,103,19.7
3/26/2019,11:20:05,AM,105,19.7
3/26/2019,11:20:06,AM,106,20
3/26/2019,11:20:07,AM,105,20
3/26/2019,11:20:08,AM,104,20.3
3/26/2019,11:20:09,AM,99,20.3
3/26/2019,11:20:10,AM,94,20.5
3/26/2019,11:20:11,AM,91,20.5
3/26/2019,11:20:12,AM,87,20.7
3/26/2019,11:20:13,AM,85,20.7
3/26/2019,11:20:14,AM,85,18.6
3/26/2019,11:20:15,AM,88,18.6
3/26/2019,11:20:16,AM,91,16.7
3/26/2019,11:20:17,AM,92,16.7
3/26/2019,11:20:18,AM,96,15.1
3/26/2019,11:20:19,AM,97,15.1
3/26/2019,11:20:20,AM,99,13.9
3/26/2019,11:20:21,AM,99,13.9
3/26/2019,11:20:22,AM,96,12.8
3/26/2019,11:20:23,AM,91,12.8
3/26/2019,11:20:24,AM,86,11.9
3/26/2019,11:20:25,AM,86,11.9
3/26/2019,11:20:26,AM,85,11.1
3/26/2019,11:20:27,AM,85,11.1
3/26/2019,11:20:28,AM,85,10.7
3/26/2019,11:20:29,AM,89,10.7
3/26/2019,11:20:30,AM,94,10.5
3/26/2019,11:20:31,AM,97,10.5
3/26/2019,11:20:32,AM,100,9.5
3/26/2019,11:20:33,AM,99,9.5
3/26/2019,11:20:34,AM,95,8.8
3/26/2019,11:20:35,AM,91,8.8
3/26/2019,11:20:36,AM,87,8.5
3/26/2019,11:20:37,AM,85,8.5
3/26/2019,11:20:38,AM,85,8.3
3/26/2019,11:20:39,AM,88,8.3
3/26/2019,11:20:40,AM,90,8.1
3/26/2019,11:20:41,AM,91,8.1
3/26/2019,11:20:42,AM,92,7.9
3/26/2019,11:20:43,AM,92,7.9
3/26/2019,11:20:44,AM,92,8
3/26/2019,11:20:45,AM,92,8
3/26/2019,11:20:46,AM,89,8.1
3/26/2019,11:20:48,AM,89,8.5
3/26/2019,11:20:49,AM,93,8.5
3/26/2019,11:20:50,AM,97,8.8
3/26/2019,11:20:51,AM,100,8.8
3/26/2019,11:20:52,AM,99,9.3
3/26/2019,11:20:53,AM,96,9.3
3/26/2019,11:20:54,AM,94,9.8
3/26/2019,11:20:55,AM,93,9.8
3/26/2019,11:20:56,AM,89,10.3
3/26/2019,11:20:57,AM,88,10.3
3/26/2019,11:20:58,AM,91,10.7
3/26/2019,11:20:59,AM,93,10.7
3/26/2019,11:21:00,AM,95,11.1
3/26/2019,11:21:01,AM,98,11.1
3/26/2019,11:21:02,AM,98,10.3
3/26/2019,11:21:03,AM,97,10.3
