Time,,,HR,BR
3/13/2019,11:50:51,AM,70,13
3/13/2019,11:50:52,AM,71,12.6
3/13/2019,11:50:53,AM,71,12.6
3/13/2019,11:50:54,AM,70,12.5
3/13/2019,11:50:55,AM,69,12.5
3/13/2019,11:50:56,AM,70,12.2
3/13/2019,11:50:57,AM,72,12.2
3/13/2019,11:50:58,AM,73,12.2
3/13/2019,11:50:59,AM,76,12.2
3/13/2019,11:51:00,AM,81,11.9
3/13/2019,11:51:01,AM,82,11.9
3/13/2019,11:51:02,AM,81,11.9
3/13/2019,11:51:03,AM,78,11.9
3/13/2019,11:51:04,AM,78,11.9
3/13/2019,11:51:05,AM,77,11.9
3/13/2019,11:51:06,AM,76,11.9
3/13/2019,11:51:07,AM,75,11.9
3/13/2019,11:51:08,AM,75,11.9
3/13/2019,11:51:09,AM,74,11.9
3/13/2019,11:51:10,AM,73,12.2
3/13/2019,11:51:11,AM,71,12.2
3/13/2019,11:51:12,AM,73,12.5
3/13/2019,11:51:13,AM,74,12.5
3/13/2019,11:51:14,AM,72,12.7
3/13/2019,11:51:15,AM,70,12.7
3/13/2019,11:51:16,AM,66,13
3/13/2019,11:51:17,AM,65,13
3/13/2019,11:51:18,AM,67,13.2
3/13/2019,11:51:19,AM,66,13.2
3/13/2019,11:51:20,AM,63,13.3
3/13/2019,11:51:21,AM,63,13.3
3/13/2019,11:51:22,AM,65,13.2
3/13/2019,11:51:23,AM,66,13.2
3/13/2019,11:51:24,AM,67,13.4
3/13/2019,11:51:25,AM,65,13.4
3/13/2019,11:51:26,AM,65,13.3
3/13/2019,11:51:27,AM,68,13.3
3/13/2019,11:51:28,AM,69,13.4
3/13/2019,11:51:29,AM,69,13.4
3/13/2019,11:51:30,AM,69,13.3
3/13/2019,11:51:31,AM,69,13.3
3/13/2019,11:51:32,AM,70,13.5
3/13/2019,11:51:33,AM,69,13.5
3/13/2019,11:51:34,AM,68,13.3
3/13/2019,11:51:35,AM,68,13.3
3/13/2019,11:51:36,AM,67,13.5
3/13/2019,11:51:37,AM,67,13.5
3/13/2019,11:51:39,AM,68,13.6
3/13/2019,11:51:40,AM,68,13.8
3/13/2019,11:51:41,AM,70,13.8
3/13/2019,11:51:42,AM,72,14.2
3/13/2019,11:51:43,AM,72,14.2
3/13/2019,11:51:44,AM,70,14.3
3/13/2019,11:51:45,AM,69,14.3
3/13/2019,11:51:46,AM,70,14.6
3/13/2019,11:51:47,AM,69,14.6
3/13/2019,11:51:48,AM,68,14.7
3/13/2019,11:51:49,AM,68,14.7
3/13/2019,11:51:50,AM,67,15
3/13/2019,11:51:51,AM,68,15
3/13/2019,11:51:52,AM,68,15.3
3/13/2019,11:51:53,AM,67,15.3
3/13/2019,11:51:54,AM,66,15.6
3/13/2019,11:51:55,AM,68,15.6
3/13/2019,11:51:56,AM,68,15.8
3/13/2019,11:51:57,AM,68,15.8
3/13/2019,11:51:58,AM,69,16
3/13/2019,11:51:59,AM,69,16
3/13/2019,11:52:00,AM,67,16.2
3/13/2019,11:52:01,AM,69,16.2
3/13/2019,11:52:02,AM,67,16.4
3/13/2019,11:52:03,AM,66,16.4
3/13/2019,11:52:04,AM,67,16.5
3/13/2019,11:52:05,AM,67,16.5
3/13/2019,11:52:06,AM,67,16.7
3/13/2019,11:52:07,AM,69,16.7
3/13/2019,11:52:08,AM,68,17.1
3/13/2019,11:52:09,AM,66,17.1
3/13/2019,11:52:10,AM,66,17.2
3/13/2019,11:52:11,AM,69,17.2
3/13/2019,11:52:12,AM,67,17.3
3/13/2019,11:52:13,AM,65,17.3
3/13/2019,11:52:14,AM,66,17.3
3/13/2019,11:52:15,AM,66,17.3
3/13/2019,11:52:16,AM,65,17.4
3/13/2019,11:52:17,AM,65,17.4
3/13/2019,11:52:18,AM,67,17.2
3/13/2019,11:52:19,AM,70,17.2
3/13/2019,11:52:20,AM,71,17.2
3/13/2019,11:52:21,AM,71,17.2
3/13/2019,11:52:22,AM,73,17
3/13/2019,11:52:23,AM,71,17
3/13/2019,11:52:24,AM,69,17.1
3/13/2019,11:52:25,AM,68,17.1
3/13/2019,11:52:26,AM,69,16.9
3/13/2019,11:52:27,AM,68,16.9
3/13/2019,11:52:28,AM,67,16.7
3/13/2019,11:52:29,AM,66,16.7
3/13/2019,11:52:30,AM,68,16.5
3/13/2019,11:52:31,AM,68,16.5
3/13/2019,11:52:32,AM,67,16.4
3/13/2019,11:52:33,AM,68,16.4
3/13/2019,11:52:34,AM,69,16.6
3/13/2019,11:52:35,AM,69,16.6
3/13/2019,11:52:36,AM,68,16.4
3/13/2019,11:52:37,AM,69,16.4
3/13/2019,11:52:38,AM,70,16.6
3/13/2019,11:52:39,AM,69,16.6
3/13/2019,11:52:40,AM,67,16.4
3/13/2019,11:52:41,AM,67,16.4
3/13/2019,11:52:42,AM,68,16.6
3/13/2019,11:52:43,AM,67,16.6
3/13/2019,11:52:44,AM,66,16.4
3/13/2019,11:52:45,AM,67,16.4
3/13/2019,11:52:46,AM,70,16.3
3/13/2019,11:52:47,AM,70,16.3
3/13/2019,11:52:48,AM,69,16.2
3/13/2019,11:52:49,AM,69,16.2
3/13/2019,11:52:50,AM,70,16
3/13/2019,11:52:51,AM,70,16
3/13/2019,11:52:52,AM,69,15.9
3/13/2019,11:52:53,AM,67,15.9
3/13/2019,11:52:54,AM,66,15.6
3/13/2019,11:52:55,AM,69,15.6
3/13/2019,11:52:56,AM,72,15.2
3/13/2019,11:52:57,AM,73,15.2
3/13/2019,11:52:58,AM,72,14.9
3/13/2019,11:52:59,AM,71,14.9
3/13/2019,11:53:00,AM,69,14.6
3/13/2019,11:53:01,AM,69,14.6
3/13/2019,11:53:02,AM,70,14.3
3/13/2019,11:53:03,AM,70,14.3
3/13/2019,11:53:04,AM,69,14.1
3/13/2019,11:53:05,AM,68,14.1
3/13/2019,11:53:06,AM,71,13.9
3/13/2019,11:53:07,AM,70,13.9
3/13/2019,11:53:08,AM,70,13.7
3/13/2019,11:53:09,AM,70,13.7
3/13/2019,11:53:10,AM,73,13.5
3/13/2019,11:53:11,AM,73,13.5
3/13/2019,11:53:12,AM,72,13.4
3/13/2019,11:53:13,AM,71,13.4
3/13/2019,11:53:14,AM,71,13.3
3/13/2019,11:53:15,AM,71,13.3
3/13/2019,11:53:16,AM,74,13.4
3/13/2019,11:53:17,AM,75,13.4
3/13/2019,11:53:18,AM,74,13.3
3/13/2019,11:53:19,AM,75,13.3
3/13/2019,11:53:20,AM,75,13.5
3/13/2019,11:53:21,AM,74,13.5
3/13/2019,11:53:22,AM,72,13.3
3/13/2019,11:53:23,AM,72,13.3
3/13/2019,11:53:24,AM,73,13.2
3/13/2019,11:53:25,AM,73,13.2
3/13/2019,11:53:26,AM,72,13.4
3/13/2019,11:53:27,AM,73,13.4
3/13/2019,11:53:28,AM,74,13.2
3/13/2019,11:53:29,AM,72,13.2
3/13/2019,11:53:30,AM,69,13.4
3/13/2019,11:53:31,AM,68,13.4
3/13/2019,11:53:32,AM,67,13.6
3/13/2019,11:53:33,AM,67,13.6
3/13/2019,11:53:34,AM,67,13.7
3/13/2019,11:53:35,AM,67,13.7
3/13/2019,11:53:36,AM,69,13.5
3/13/2019,11:53:37,AM,70,13.5
3/13/2019,11:53:38,AM,70,13.7
3/13/2019,11:53:39,AM,66,13.7
3/13/2019,11:53:40,AM,69,13.8
3/13/2019,11:53:41,AM,72,13.8
3/13/2019,11:53:42,AM,75,14.2
3/13/2019,11:53:43,AM,79,14.2
3/13/2019,11:53:44,AM,79,14.6
3/13/2019,11:53:45,AM,78,14.6
3/13/2019,11:53:46,AM,79,14.9
3/13/2019,11:53:47,AM,78,14.9
3/13/2019,11:53:48,AM,77,15.2
3/13/2019,11:53:49,AM,79,15.2
3/13/2019,11:53:50,AM,78,15.5
3/13/2019,11:53:51,AM,78,15.5
3/13/2019,11:53:52,AM,77,15.5
3/13/2019,11:53:53,AM,75,15.5
3/13/2019,11:53:54,AM,75,15.4
3/13/2019,11:53:55,AM,76,15.4
3/13/2019,11:53:56,AM,76,15.7
3/13/2019,11:53:57,AM,74,15.7
3/13/2019,11:53:58,AM,69,15.6
3/13/2019,11:53:59,AM,66,15.6
3/13/2019,11:54:00,AM,64,15.2
3/13/2019,11:54:01,AM,66,15.2
3/13/2019,11:54:02,AM,70,14.9
3/13/2019,11:54:03,AM,71,14.9
3/13/2019,11:54:04,AM,76,14.9
3/13/2019,11:54:05,AM,80,14.9
3/13/2019,11:54:06,AM,86,15
3/13/2019,11:54:07,AM,90,15
3/13/2019,11:54:08,AM,92,15
3/13/2019,11:54:09,AM,96,15
3/13/2019,11:54:10,AM,99,15
3/13/2019,11:54:11,AM,99,15
3/13/2019,11:54:12,AM,102,15
